,index
1992-09-15,39.428237915039055
1992-10-15,39.92736053466797
1992-11-15,40.11140441894531
1992-12-15,40.225200653076165
1993-01-15,40.56002426147461
1993-02-15,40.856292724609375
1993-03-15,41.163471221923835
1993-04-15,41.593765258789055
1993-05-15,42.12889099121094
1993-06-15,42.43192672729492
1993-07-15,42.568431854248054
1993-08-15,42.57525253295898
1993-09-15,42.92610931396485
1993-10-15,43.168766021728516
1993-11-15,43.19344329833984
1993-12-15,43.18777465820313
1994-01-15,43.23126220703124
1994-02-15,43.22973251342773
1994-03-15,43.28998947143555
1994-04-15,43.39536666870117
1994-05-15,43.54577636718751
1994-06-15,43.71429443359376
1994-07-15,44.11788177490234
1994-08-15,44.20890426635743
1994-09-15,44.511474609375
1994-10-15,44.654109954833984
1994-11-15,44.755069732666016
1994-12-15,44.85239791870117
1995-01-15,45.4112434387207
1995-02-15,45.410003662109375
1995-03-15,45.20598220825195
1995-04-15,45.41272354125977
1995-05-15,45.422271728515625
1995-06-15,45.32872772216797
1995-07-15,45.51263046264648
1995-08-15,45.40233612060547
1995-09-15,45.476993560791016
1995-10-15,45.6316032409668
1995-11-15,45.527374267578125
1995-12-15,45.57351684570313
1996-01-15,45.71014022827149
1996-02-15,45.56159973144531
1996-03-15,45.31579589843751
1996-04-15,45.31649017333984
1996-05-15,45.27606964111328
1996-06-15,45.277244567871094
1996-07-15,45.52273559570313
1996-08-15,45.48747634887695
1996-09-15,45.570072174072266
1996-10-15,45.79978942871094
1996-11-15,45.72865295410156
1996-12-15,45.59827041625977
1997-01-15,45.81124114990234
1997-02-15,45.98738479614258
1997-03-15,45.76068878173828
1997-04-15,45.609447479248054
1997-05-15,45.57159805297852
1997-06-15,45.67536163330079
1997-07-15,45.7768669128418
1997-08-15,45.8521957397461
1997-09-15,45.830238342285156
1997-10-15,45.75844192504883
1997-11-15,45.67000961303712
1997-12-15,45.74782180786133
1998-01-15,46.03538513183594
1998-02-15,46.19590377807617
1998-03-15,46.13787078857422
1998-04-15,46.1430778503418
1998-05-15,46.10975646972656
1998-06-15,46.19778060913085
1998-07-15,46.342166900634766
1998-08-15,46.351524353027344
1998-09-15,46.33719253540038
1998-10-15,46.16766738891602
1998-11-15,46.058048248291016
1998-12-15,46.051807403564446
1999-01-15,46.26890182495117
1999-02-15,46.19457244873047
1999-03-15,45.84774017333984
1999-04-15,45.80283737182617
1999-05-15,45.57732391357421
1999-06-15,45.574554443359375
1999-07-15,45.65926742553712
1999-08-15,45.48739242553712
1999-09-15,45.39677047729492
1999-10-15,45.38966751098633
1999-11-15,45.24619674682617
1999-12-15,45.21806335449219
2000-01-15,45.60025787353516
2000-02-15,45.60212707519531
2000-03-15,45.361186981201165
2000-04-15,45.31018447875977
2000-05-15,45.13406372070313
2000-06-15,45.05061340332031
2000-07-15,45.24627304077149
2000-08-15,45.14892959594727
2000-09-15,45.079597473144524
2000-10-15,45.16038131713867
2000-11-15,44.938385009765625
2000-12-15,44.888145446777344
2001-01-15,44.92424774169921
2001-02-15,44.821914672851555
2001-03-15,44.907318115234375
2001-04-15,45.207496643066406
2001-05-15,45.23675537109376
2001-06-15,44.91047286987305
2001-07-15,44.76358413696288
2001-08-15,44.60348510742188
2001-09-15,44.56971740722656
2001-10-15,44.37308883666992
2001-11-15,44.227561950683594
2001-12-15,44.19393539428711
2002-01-15,45.20712661743164
2002-02-15,46.626846313476555
2002-03-15,48.47116470336913
2002-04-15,53.50666046142578
2002-05-15,55.6526756286621
2002-06-15,57.66843032836914
2002-07-15,59.50727462768554
2002-08-15,60.90091323852539
2002-09-15,61.72354125976562
2002-10-15,61.85845184326172
2002-11-15,62.17339324951172
2002-12-15,62.28981399536133
2003-01-15,63.11158752441407
2003-02-15,63.46881103515625
2003-03-15,63.83931350708008
2003-04-15,63.874584197998054
2003-05-15,63.6296043395996
2003-06-15,63.57509231567383
2003-07-15,63.857421875
2003-08-15,63.872970581054695
2003-09-15,63.89828109741211
2003-10-15,64.27494049072266
2003-11-15,64.43346405029297
2003-12-15,64.57026672363281
2004-01-15,64.84169006347656
2004-02-15,64.90692138671875
2004-03-15,65.2920150756836
2004-04-15,65.8522262573242
2004-05-15,66.33335876464844
2004-06-15,66.70879364013672
2004-07-15,67.01624298095703
2004-08-15,67.24642944335938
2004-09-15,67.66963958740234
2004-10-15,67.93746948242188
2004-11-15,67.9389877319336
2004-12-15,68.50696563720703
2005-01-15,69.52488708496094
2005-02-15,70.18255615234375
2005-03-15,71.26741790771484
2005-04-15,71.61686706542969
2005-05-15,72.0470962524414
2005-06-15,72.70693969726561
2005-07-15,73.43703460693358
2005-08-15,73.7578582763672
2005-09-15,74.61565399169922
2005-10-15,75.1987075805664
2005-11-15,76.10590362548828
2005-12-15,76.95317840576173
2006-01-15,77.93498229980467
2006-02-15,78.24385833740234
2006-03-15,79.18698120117186
2006-04-15,79.95708465576173
2006-05-15,80.33128356933594
2006-06-15,80.72026824951173
2006-07-15,81.21837615966798
2006-08-15,81.67524719238283
2006-09-15,82.40980529785155
2006-10-15,83.11515808105469
2006-11-15,83.7033233642578
2006-12-15,84.52462005615233
2007-01-15,85.46733093261719
2007-02-15,86.0316162109375
2007-03-15,86.9278564453125
2007-04-15,88.89956665039062
2007-05-15,90.75177001953124
2007-06-15,93.1616439819336
2007-07-15,95.53832244873048
2007-08-15,98.71164703369138
2007-09-15,100.68998718261722
2007-10-15,102.13059997558594
2007-11-15,101.7190017700195
